Name,Sector,ESGRating,Date,Category
360 ONE WAM LIMITED,Stockbroking & Allied,Crisil ESG 66,23-Sep-25,Strong
3M INDIA LIMITED,Diversified,Crisil ESG 60,12-Sep-25,Adequate
AADHAR HOUSING FINANCE LIMITED,Housing Finance Company,Crisil ESG 57,11-Aug-25,Adequate
AARTI DRUGS LIMITED,Pharmaceuticals,Crisil ESG 52,8-Oct-25,Adequate
AARTI INDUSTRIES LIMITED,Specialty Chemicals,Crisil ESG 55,3-Sep-25,Adequate
AAVAS FINANCIERS LIMITED,Housing Finance Company,Crisil ESG 64,1-Oct-25,Strong
ABB INDIA LIMITED,Heavy Electrical Equipment,Crisil ESG 64,20-May-25,Strong
ABBOTT INDIA LIMITED,Pharmaceuticals,Crisil ESG 58,25-Aug-25,Adequate
ACC LIMITED,Cement & Cement Products,Crisil ESG 57,10-Jul-25,Adequate
ACCELYA SOLUTIONS INDIA LIMITED,Computers - Software & Consulting,Crisil ESG 58,11-Nov-25,Adequate
ACTION CONSTRUCTION EQUIPMENT LIMITED,Construction Vehicles,Crisil ESG 51,12-Sep-25,Adequate
ACUTAAS CHEMICALS LIMITED,Pharmaceuticals,Crisil ESG 56,10-Oct-25,Adequate
ADANI ENERGY SOLUTIONS LIMITED,Power Distribution,Crisil ESG 61,11-Jul-25,Strong
ADANI ENTERPRISES LIMITED,Diversified,Crisil ESG 51,27-Jun-25,Adequate
ADANI GREEN ENERGY LIMITED,Power Generation,Crisil ESG 66,8-Jul-25,Strong
ADANI PORTS & SPECIAL ECONOMIC ZONE LIMITED,Port & Port services,Crisil ESG 61,30-Jun-25,Strong
ADANI POWER LIMITED,Integrated Power Utilities,Crisil ESG 54,2-Jul-25,Adequate
ADANI TOTAL GAS LIMITED,LPG/CNG/PNG/LNG Supplier,Crisil ESG 61,3-Jul-25,Strong
ADF FOODS LIMITED,Packaged Foods,Crisil ESG 49,8-Aug-25,Below average
ADITYA BIRLA CAPITAL LIMITED,Investment Company,Crisil ESG 64,29-Aug-25,Strong
ADITYA BIRLA FASHION & RETAIL LIMITED,Speciality Retail,Crisil ESG 65,8-Oct-25,Strong
ADITYA BIRLA HOUSING FINANCE LIMITED,Housing Finance Company,Crisil ESG 53,23-Jun-25,Adequate
ADITYA BIRLA REAL ESTATE LIMITED,Paper & Paper Products,Crisil ESG 58,14-Aug-25,Adequate
ADITYA BIRLA SUN LIFE AMC LIMITED,Asset Management Company,Crisil ESG 61,1-Aug-25,Strong
ADOR WELDING LIMITED,Other Industrial Products,Crisil ESG 56,8-Jul-25,Adequate
ADVANCED ENZYME TECHNOLOGIES LIMITED,Biotechnology,Crisil ESG 55,11-Aug-25,Adequate
AEGIS LOGISTICS LIMITED,Trading - Gas,Crisil ESG 50,29-Aug-25,Below average
AETHER INDUSTRIES LIMITED,Specialty Chemicals,Crisil ESG 51,30-Sep-25,Adequate
AFFLE 3I LIMITED,IT Enabled Services,Crisil ESG 51,8-Oct-25,Adequate
AG VENTURES LIMITED,Commodity Chemicals,Crisil ESG 52(Withdrawn),14-Aug-25,Adequate
AGI GREENPAC LIMITED,Packaging,Crisil ESG 52,16-Sep-25,Adequate
AGS TRANSACT TECHNOLOGIES LIMITED,Financial Technology (Fintech),Crisil ESG 27,19-Feb-26,Weak
AHLUWALIA CONTRACTS INDIA LIMITED,Civil Construction,Crisil ESG 50,15-Oct-25,Below average
AIA ENGINEERING LIMITED,Castings & Forgings,Crisil ESG 54,30-Sep-25,Adequate
AJANTA PHARMA LIMITED,Pharmaceuticals,Crisil ESG 60,11-Jul-25,Adequate
AKZO NOBEL INDIA LIMITED,Paints,Crisil ESG 61,5-Aug-25,Strong
